[ClickButtonLog] [2021-09-10T05:39:52.2230861] Clicked: 88218, new: false
[ClickButtonLog] [2021-09-10T05:39:52.8256332] Clicked: 88224, new: false
[ClickButtonLog] [2021-09-10T05:39:53.4281806] Clicked: 88227, new: false
[ClickButtonLog] [2021-09-10T05:39:54.6342762] Clicked: 88233, new: false
[ClickButtonLog] [2021-09-10T05:40:00.0491949] Clicked: 88218, new: false
[ClickButtonLog] [2021-09-10T05:40:00.0491949] Clicked: 88221, new: false
[ClickButtonLog] [2021-09-10T05:40:00.6517424] Clicked: 88224, new: false
[ClickButtonLog] [2021-09-10T05:40:01.8558361] Clicked: 88230, new: false
[ClickButtonLog] [2021-09-10T05:40:28.3188744] Clicked: 4140, new: false
[ClickButtonLog] [2021-09-10T05:40:29.5199652] Clicked: 39716, new: true
[ClickButtonLog] [2021-09-10T05:40:30.7210564] Clicked: 39706, new: true
[ClickButtonLog] [2021-09-10T05:40:31.3236041] Clicked: 44746, new: true
[ClickButtonLog] [2021-09-10T05:40:43.3605377] Clicked: 211159, new: false
[ClickButtonLog] [2021-09-10T05:40:48.7754565] Clicked: 211159, new: false
[ClickButtonLog] [2021-09-10T05:40:52.9922871] Clicked: 73249, new: false
[ClickButtonLog] [2021-09-10T05:41:00.8153932] Clicked: 211159, new: false
[ClickButtonLog] [2021-09-10T05:41:02.6210337] Clicked: 211159, new: false
[ClickButtonLog] [2021-09-10T05:41:50.1557267] Clicked: 154078, new: false
[ClickButtonLog] [2021-09-10T05:43:31.2400555] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:45:38.7914353] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:45:46.6185451] Clicked: 88219, new: false
[ClickButtonLog] [2021-09-10T05:45:48.4251863] Clicked: 245182, new: false
[ClickButtonLog] [2021-09-10T05:45:49.6272779] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:45:50.830371] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:46:11.8925031] Clicked: 245182, new: false
[ClickButtonLog] [2021-09-10T05:47:52.9718258] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:47:54.172917] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:49:04.5528485] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:49:33.425075] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T05:49:36.4288038] Clicked: 245183, new: false
[ClickButtonLog] [2021-09-10T19:11:31.7488258] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-10T19:11:32.3513731] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-10T19:11:33.5514632] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-10T19:11:33.5524642] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-10T19:11:34.1530095] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-10T19:11:35.3551018] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-10T19:11:35.957649] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-10T19:11:35.957649] Clicked: 73161, new: false
