[ClickObjectLog] [2021-12-09T14:00:45.908772] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:45.9097731] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:46.5117761] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:46.5117761] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:47.7130848] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:47.7130848] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:48.3130885] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:48.3140881] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:48.9152458] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:48.9152458] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:48.9152458] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:49.5177429] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:49.5177429] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:49.5177429] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:50.1199437] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:50.1199437] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:50.7219828] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:50.7219828] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:50.7219828] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:51.3209484] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:51.3209484] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:57.9426449] Clicked object WorldObject{x=3813, y=2847, height=0, id=24347, type=10, face=2} option 2
[ClickObjectLog] [2021-12-09T14:01:11.1808993] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:11.1808993] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:11.7790698] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:11.7790698] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:01:11.7800679] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
