[ClickButtonLog] [2021-08-17T12:54:17.6515441] Clicked: 44750, new: true
[ClickButtonLog] [2021-08-23T21:43:53.9884014] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:43:54.5945246] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:43:56.9942838] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:43:57.5963376] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:43:58.1969284] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:43:58.1969284] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:44:04.8117912] Clicked: 75010, new: false
[ClickButtonLog] [2021-08-23T21:45:13.3745347] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-23T21:45:15.1812116] Clicked: 84051, new: false
[ClickButtonLog] [2021-08-23T21:45:15.7837586] Clicked: 84053, new: false
[ClickButtonLog] [2021-08-23T21:45:16.3843176] Clicked: 84055, new: false
[ClickButtonLog] [2021-08-23T21:45:16.9863708] Clicked: 84051, new: false
[ClickButtonLog] [2021-08-23T21:45:19.9961379] Clicked: 84071, new: false
[ClickButtonLog] [2021-08-23T21:47:01.6071051] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-23T21:47:03.4098098] Clicked: 84057, new: false
[ClickButtonLog] [2021-08-23T21:47:04.0118627] Clicked: 197008, new: false
[ClickButtonLog] [2021-08-23T21:47:04.6149141] Clicked: 197008, new: false
[ClickButtonLog] [2021-08-23T21:47:07.6206776] Clicked: 84071, new: false
[ClickButtonLog] [2021-08-23T21:47:07.6206776] Clicked: 84071, new: false
[ClickButtonLog] [2021-08-23T23:56:19.1697877] Clicked: 50419, new: true
[ClickButtonLog] [2021-08-23T23:56:19.7703326] Clicked: 50421, new: true
[ClickButtonLog] [2021-08-23T23:56:20.372383] Clicked: 50423, new: true
[ClickButtonLog] [2021-08-23T23:56:20.372383] Clicked: 50419, new: true
[ClickButtonLog] [2021-08-23T23:56:21.5744744] Clicked: 50421, new: true
[ClickButtonLog] [2021-08-23T23:56:31.7963351] Clicked: 25551, new: true
[ClickButtonLog] [2021-08-23T23:56:32.9974254] Clicked: 25551, new: true
[ClickButtonLog] [2021-08-23T23:56:40.2059689] Clicked: 24927, new: true
[ClickButtonLog] [2021-08-23T23:56:43.2096954] Clicked: 50423, new: true
[ClickButtonLog] [2021-08-23T23:56:45.6123804] Clicked: 50421, new: true
[ClickButtonLog] [2021-08-23T23:56:48.6181093] Clicked: 166028, new: false
[ClickButtonLog] [2021-08-23T23:56:51.6213406] Clicked: 166007, new: false
[ClickButtonLog] [2021-08-23T23:56:52.2218858] Clicked: 166008, new: false
[ClickButtonLog] [2021-08-23T23:56:52.2218858] Clicked: 166006, new: false
[ClickButtonLog] [2021-08-23T23:57:09.654721] Clicked: 166007, new: false
[ClickButtonLog] [2021-08-23T23:57:10.2592698] Clicked: 166008, new: false
[ClickButtonLog] [2021-08-23T23:57:10.2602712] Clicked: 166009, new: false
[ClickButtonLog] [2021-08-23T23:57:10.8568123] Clicked: 166006, new: false
[ClickButtonLog] [2021-08-23T23:57:13.2639974] Clicked: 50417, new: true
[ClickButtonLog] [2021-08-23T23:57:15.0691403] Clicked: 50419, new: true
[ClickButtonLog] [2021-08-23T23:57:16.8727776] Clicked: 74107, new: false
[ClickButtonLog] [2021-08-23T23:57:19.2769601] Clicked: 74112, new: false
[ClickButtonLog] [2021-08-23T23:57:27.0930775] Clicked: 74122, new: false
[ClickButtonLog] [2021-08-23T23:57:28.8997171] Clicked: 175214, new: false
[ClickButtonLog] [2021-08-23T23:57:28.8997171] Clicked: 175220, new: false
[ClickButtonLog] [2021-08-23T23:57:29.5017683] Clicked: 175223, new: false
[ClickButtonLog] [2021-08-23T23:57:30.1023135] Clicked: 175226, new: false
[ClickButtonLog] [2021-08-23T23:57:31.9079526] Clicked: 176003, new: false
[ClickButtonLog] [2021-08-23T23:57:32.508511] Clicked: 176000, new: false
[ClickButtonLog] [2021-08-23T23:57:34.3141502] Clicked: 175223, new: false
[ClickButtonLog] [2021-08-23T23:57:34.9146952] Clicked: 175223, new: false
[ClickButtonLog] [2021-08-23T23:57:34.9146952] Clicked: 175220, new: false
[ClickButtonLog] [2021-08-23T23:57:35.5152404] Clicked: 175217, new: false
[ClickButtonLog] [2021-08-23T23:57:36.1157855] Clicked: 175214, new: false
[ClickButtonLog] [2021-08-23T23:57:36.7163309] Clicked: 175211, new: false
[ClickButtonLog] [2021-08-23T23:57:40.3266078] Clicked: 74132, new: false
[ClickButtonLog] [2021-08-23T23:57:41.5327026] Clicked: 74122, new: false
[ClickButtonLog] [2021-08-23T23:57:43.9393919] Clicked: 74137, new: false
[ClickButtonLog] [2021-08-23T23:57:48.7497583] Clicked: 74142, new: false
[ClickButtonLog] [2021-08-23T23:57:51.1659514] Clicked: 74137, new: false
[ClickButtonLog] [2021-08-23T23:57:54.7717313] Clicked: 74127, new: false
[ClickButtonLog] [2021-08-23T23:58:00.1906679] Clicked: 74157, new: false
[ClickButtonLog] [2021-08-23T23:58:09.2128576] Clicked: 50421, new: true
[ClickButtonLog] [2021-08-23T23:58:10.4139479] Clicked: 50417, new: true
[ClickButtonLog] [2021-08-23T23:58:12.818635] Clicked: 50421, new: true
[ClickButtonLog] [2021-08-23T23:58:13.41918] Clicked: 24501, new: true
[ClickButtonLog] [2021-08-23T23:58:14.0197253] Clicked: 24601, new: true
[ClickButtonLog] [2021-08-23T23:58:17.0254536] Clicked: 24503, new: true
[ClickButtonLog] [2021-08-23T23:58:18.8310929] Clicked: 25057, new: true
[ClickButtonLog] [2021-08-23T23:58:38.7006771] Clicked: 25954, new: true
[ClickButtonLog] [2021-08-23T23:58:38.7006771] Clicked: 25915, new: true
[ClickButtonLog] [2021-08-23T23:58:39.303224] Clicked: 24927, new: true
[ClickButtonLog] [2021-08-23T23:58:44.1195961] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-23T23:58:58.5642287] Clicked: 226198, new: false
[ClickButtonLog] [2021-08-23T23:58:59.164787] Clicked: 226186, new: false
[ClickButtonLog] [2021-08-23T23:59:45.5103811] Clicked: 226154, new: false
[ClickButtonLog] [2021-08-23T23:59:47.319023] Clicked: 73245, new: false
[ClickButtonLog] [2021-08-23T23:59:49.7252072] Clicked: 73245, new: false
[ClickButtonLog] [2021-08-23T23:59:55.7391703] Clicked: 20174, new: false
[ClickButtonLog] [2021-08-24T00:00:04.1638324] Clicked: 226253, new: false
[ClickButtonLog] [2021-08-24T00:00:05.3679252] Clicked: 227008, new: false
[ClickButtonLog] [2021-08-24T00:00:08.3756696] Clicked: 226251, new: false
[ClickButtonLog] [2021-08-24T00:00:09.5767598] Clicked: 226186, new: false
[ClickButtonLog] [2021-08-24T00:00:16.7923097] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-24T00:00:17.3928548] Clicked: 73249, new: false
[ClickButtonLog] [2021-08-24T00:00:17.9933999] Clicked: 73249, new: false
[ClickButtonLog] [2021-08-24T00:00:17.9933999] Clicked: 73249, new: false
[ClickButtonLog] [2021-08-24T00:00:26.42105] Clicked: 226186, new: false
[ClickButtonLog] [2021-08-26T17:37:07.483932] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T17:37:09.2892272] Clicked: 84051, new: false
[ClickButtonLog] [2021-08-26T17:37:09.2902281] Clicked: 84053, new: false
[ClickButtonLog] [2021-08-26T17:37:11.0943714] Clicked: 84055, new: false
[ClickButtonLog] [2021-08-26T17:37:11.701923] Clicked: 84057, new: false
[ClickButtonLog] [2021-08-26T17:58:59.8651218] Clicked: 84071, new: false
[ClickButtonLog] [2021-08-26T18:04:27.252902] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:04:29.657727] Clicked: 84057, new: false
[ClickButtonLog] [2021-08-26T18:04:30.2597777] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:04:42.8888258] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:04:44.089916] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:04:45.8965559] Clicked: 84051, new: false
[ClickButtonLog] [2021-08-26T18:04:47.098666] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:04:50.104914] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:04:51.9065494] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:04:53.1131487] Clicked: 84057, new: false
[ClickButtonLog] [2021-08-26T18:04:54.3152399] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:05:03.9355182] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:05:03.9355182] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:05:04.5360636] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:05:05.1366087] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:05:05.1406119] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:05:05.1406119] Clicked: 226170, new: false
[ClickButtonLog] [2021-08-26T18:05:05.7451608] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:07:34.2839648] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:07:35.486066] Clicked: 84057, new: false
[ClickButtonLog] [2021-08-26T18:07:36.6876612] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:07:40.2979572] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:07:41.4990472] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:07:42.7021501] Clicked: 84053, new: false
[ClickButtonLog] [2021-08-26T18:07:43.9057476] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:07:50.5187683] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:07:50.5187683] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:07:52.3234266] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:08:07.3582149] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:08:07.9607619] Clicked: 226170, new: false
[ClickButtonLog] [2021-08-26T18:12:16.4973166] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-26T18:12:18.3089885] Clicked: 196242, new: false
[ClickButtonLog] [2021-08-26T18:12:20.1126524] Clicked: 84065, new: false
[ClickButtonLog] [2021-08-26T18:12:23.1179303] Clicked: 196242, new: false
[ClickButtonLog] [2021-08-26T18:12:24.3225291] Clicked: 84062, new: false
[ClickButtonLog] [2021-08-26T18:12:43.5816676] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-26T18:12:44.1822128] Clicked: 226170, new: false
[ClickButtonLog] [2021-08-26T18:12:45.3868269] Clicked: 226170, new: false
[ClickButtonLog] [2021-08-26T18:12:45.3868269] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-27T14:17:08.6148535] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-27T14:17:08.6248624] Clicked: 226162, new: false
[ClickButtonLog] [2021-08-27T14:17:25.4577183] Clicked: 74003, new: false
[ClickButtonLog] [2021-08-27T14:17:27.2618608] Clicked: 197008, new: false
[ClickButtonLog] [2021-08-27T14:17:29.0644973] Clicked: 84062, new: false
