[ClickButtonLog] [2022-02-21T22:00:28.6584657] Clicked: 118098, new: false
[ClickButtonLog] [2022-02-21T22:00:39.4925677] Clicked: 118098, new: false
[ClickButtonLog] [2022-02-21T22:00:46.1036157] Clicked: 118098, new: false
[ClickButtonLog] [2022-02-21T22:01:10.7768314] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T22:01:21.0089189] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T22:01:34.8410382] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T22:02:30.7815204] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T22:02:30.7815204] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T22:02:33.7875461] Clicked: 183156, new: false
[ClickButtonLog] [2022-02-21T22:02:47.6276637] Clicked: 183155, new: false
[ClickButtonLog] [2022-02-21T22:02:59.0542249] Clicked: 9179, new: false
[ClickButtonLog] [2022-02-21T22:03:05.6772903] Clicked: 183156, new: false
[ClickButtonLog] [2022-02-21T22:03:19.5093988] Clicked: 183156, new: false
[ClickButtonLog] [2022-02-21T22:03:20.1094135] Clicked: 183155, new: false
[ClickButtonLog] [2022-02-21T22:03:58.6047347] Clicked: 14067, new: false
[ClickButtonLog] [2022-02-21T22:04:19.6619175] Clicked: 47002, new: false
[ClickButtonLog] [2022-02-21T22:04:21.4659412] Clicked: 11015, new: false
[ClickButtonLog] [2022-02-21T22:04:21.4669327] Clicked: 11015, new: false
